id,name,leaf,type,typeName,initial,hot,sort,code,englishName,unit,description,imgUrl,server_categoryList,server_children,server_code,server_description,server_englishName,server_hot,server_id,server_imgUrl,server_initial,server_leaf,server_name,server_parentId,server_sort,server_type,server_typeName,server_unit
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,32.0,,A,False,Arathor US - Horde,10.0,2038593555605360682,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,33.0,,A,False,Archimonde US - Alliance,10.0,2038593555605360683,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,34.0,,A,False,Archimonde US - Horde,10.0,2038593555605360684,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,35.0,,A,False,Area 52 US - Alliance,10.0,2038593555605360685,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,36.0,,A,False,Area 52 US - Horde,10.0,2038593555605360686,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,37.0,,A,False,Argent Dawn US - Alliance,10.0,2038593555605360687,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,38.0,,A,False,Argent Dawn US - Horde,10.0,2038593555605360688,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,39.0,,A,False,Arthas US - Alliance,10.0,2038593555605360689,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,40.0,,A,False,Arthas US - Horde,10.0,2038593555605360690,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,41.0,,A,False,Arygos US - Alliance,10.0,2038593555605360691,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,42.0,,A,False,Arygos US - Horde,10.0,2038593555605360692,server,服务器,
